Number,Line1,Line2,kural_Translation,Explanation,Explanation_translation,adikaram_name,adikaram_translation
1,அகர முதல எழுத்தெல்லாம் ஆதி,பகவன் முதற்றே உலகு.,'A' leads letters; the Ancient Lord Leads and lords the entire world,எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.,"As the letter A is the first of all letters, so the eternal God is first in the world",கடவுள் வாழ்த்து,The Praise of God
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன்,நற்றாள் தொழாஅர் எனின்.,That lore is vain which does not fall  At His good feet who knoweth all,"தூய அறிவு வடிவாக விளங்கும் இறைவனுடைய நல்ல திருவடிகளை தொழாமல் இருப்பாரானால், அவர் கற்ற கல்வியினால் ஆகிய பயன் என்ன?","What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge ?",கடவுள் வாழ்த்து,The Praise of God
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்,நிலமிசை நீடுவாழ் வார்.,Long they live on earth who gain The feet of God in florid brain,"அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்","They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds",கடவுள் வாழ்த்து,The Praise of God
4,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு,யாண்டும் இடும்பை இல.,Who hold His feet who likes nor loathes Are free from woes of human births,விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை பொருந்தி நினைக்கின்றவர்க்கு எப்போதும் எவ்விடத்திலும் துன்பம் இல்லை,"To those who meditate the feet of Him who is void of desire or aversion, evil shall never come",கடவுள் வாழ்த்து,The Praise of God
5,இருள்சேர் இருவினையும் சேரா இறைவன்,பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,"God's praise who tell, are free from right  And wrong, the twins of dreaming night",கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை,The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God,கடவுள் வாழ்த்து,The Praise of God
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க,நெறிநின்றார் நீடுவாழ் வார்.,They prosper long who walk His way Who has the senses signed away,"ஐம்பொறி வாயிலாக பிறக்கும் வேட்கைகளை அவித்த இறைவனுடைய பொய்யற்ற ஒழுக்க நெறியில் நின்றவர், நிலை பெற்ற நல்வாழ்க்கை வாழ்வர்",Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses,கடவுள் வாழ்த்து,The Praise of God
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்,மனக்கவலை மாற்றல் அரிது.,"His feet, whose likeness none can find, Alone can ease the anxious mind","தனக்கு ஒப்புமை இல்லாத தலைவனுடைய திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர்க்கு மனக்கவலையை மாற்ற முடியாது","Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable",கடவுள் வாழ்த்து,The Praise of God
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்,பிறவாழி நீந்தல் அரிது.,Who swims the sea of vice is he Who clasps the feet of Virtue's sea,"அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது","None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue",கடவுள் வாழ்த்து,The Praise of God
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான்,தாளை வணங்காத் தலை.,Like senses stale that head is vain Which bows not to Eight-Virtued Divine,"கேட்காதசெவி, பார்க்காத கண் போன்ற எண் குணங்களை உடைய கடவுளின் திருவடிகளை வணங்காதவரின் தலைகள் பயனற்றவைகளாம்","The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation",கடவுள் வாழ்த்து,The Praise of God
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்,இறைவன் அடிசேரா தார்.,The sea of births they alone swim Who clench His feet and cleave to Him,இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது,None can swim the great sea of births but those who are united to the feet of God,கடவுள் வாழ்த்து,The Praise of God
